n,p,noise_sigma,itr,dim,add_var,sum_var,deflation,method,elapsed_time
100,200,0.1,1,1,0.998613524104184,0.998613524104184,HD,CCA,0.137680709
100,200,0.1,1,2,0.998429195611503,1.99704271971569,HD,CCA,0.137680709
100,200,0.1,1,3,0.99950247693867,2.99654519665436,HD,CCA,0.137680709
100,200,0.1,1,4,0.999254264874682,3.99579946152904,HD,CCA,0.137680709
100,200,0.1,1,5,0.999730649447485,4.99553011097652,HD,CCA,0.137680709
100,200,0.1,2,1,0.999080313890172,0.999080313890172,HD,CCA,0.098504125
100,200,0.1,2,2,0.997573109757842,1.99665342364801,HD,CCA,0.098504125
100,200,0.1,2,3,0.999627905827413,2.99628132947543,HD,CCA,0.098504125
100,200,0.1,2,4,0.998187647748316,3.99446897722374,HD,CCA,0.098504125
100,200,0.1,2,5,0.997544857059624,4.99201383428337,HD,CCA,0.098504125
100,200,0.1,3,1,0.997514667790133,0.997514667790133,HD,CCA,0.050470167
100,200,0.1,3,2,0.979574585462598,1.97708925325273,HD,CCA,0.050470167
100,200,0.1,3,3,0.991389050825699,2.96847830407843,HD,CCA,0.050470167
100,200,0.1,3,4,0.997025426179162,3.96550373025759,HD,CCA,0.050470167
100,200,0.1,3,5,0.998912781948351,4.96441651220594,HD,CCA,0.050470167
100,200,0.1,4,1,0.989681208904045,0.989681208904045,HD,CCA,0.043539666
100,200,0.1,4,2,0.979161976526082,1.96884318543013,HD,CCA,0.043539666
100,200,0.1,4,3,0.996275552485414,2.96511873791554,HD,CCA,0.043539666
100,200,0.1,4,4,0.996700769299938,3.96181950721548,HD,CCA,0.043539666
100,200,0.1,4,5,0.999261781467161,4.96108128868264,HD,CCA,0.043539666
100,200,0.1,5,1,0.992472225107449,0.992472225107449,HD,CCA,0.069355458
100,200,0.1,5,2,0.999561997041204,1.99203422214865,HD,CCA,0.069355458
100,200,0.1,5,3,0.997475017746805,2.98950923989546,HD,CCA,0.069355458
100,200,0.1,5,4,0.998540671177842,3.9880499110733,HD,CCA,0.069355458
100,200,0.1,5,5,0.999293120533189,4.98734303160649,HD,CCA,0.069355458
100,200,0.1,6,1,0.986852918444931,0.986852918444931,HD,CCA,0.073547583
100,200,0.1,6,2,0.99444911397342,1.98130203241835,HD,CCA,0.073547583
100,200,0.1,6,3,0.995390783785517,2.97669281620387,HD,CCA,0.073547583
100,200,0.1,6,4,0.994768519843772,3.97146133604764,HD,CCA,0.073547583
100,200,0.1,6,5,0.998532762582236,4.96999409862988,HD,CCA,0.073547583
100,200,0.1,7,1,0.99678930542015,0.99678930542015,HD,CCA,0.038220833
100,200,0.1,7,2,0.995869099005988,1.99265840442614,HD,CCA,0.038220833
100,200,0.1,7,3,0.989945288861357,2.9826036932875,HD,CCA,0.038220833
100,200,0.1,7,4,0.988572643841441,3.97117633712894,HD,CCA,0.038220833
100,200,0.1,7,5,0.989572649281883,4.96074898641082,HD,CCA,0.038220833
100,200,0.1,8,1,0.996325138419908,0.996325138419908,HD,CCA,0.060552125
100,200,0.1,8,2,0.998567746159176,1.99489288457908,HD,CCA,0.060552125
100,200,0.1,8,3,0.979655938082336,2.97454882266142,HD,CCA,0.060552125
100,200,0.1,8,4,0.998084184852664,3.97263300751408,HD,CCA,0.060552125
