n,p,noise_sigma,itr,dim,add_var,sum_var,deflation,method,elapsed_time
100,200,0.1,1,1,0.974553233709697,0.974553233709697,HD,SCCA,0.176403083
100,200,0.1,1,2,0.96727303550339,1.94182626921309,HD,SCCA,0.176403083
100,200,0.1,1,3,0.938674483833644,2.88050075304673,HD,SCCA,0.176403083
100,200,0.1,1,4,0.926744358619544,3.80724511166628,HD,SCCA,0.176403083
100,200,0.1,1,5,0.939750973254074,4.74699608492035,HD,SCCA,0.176403083
100,200,0.1,1,1,0.947118391069103,0.947118391069103,HD,GN-SCCA,0.19175
100,200,0.1,1,2,0.822425202380703,1.76954359344981,HD,GN-SCCA,0.19175
100,200,0.1,1,3,0.734354758151446,2.50389835160125,HD,GN-SCCA,0.19175
100,200,0.1,1,4,0.744725576707428,3.24862392830868,HD,GN-SCCA,0.19175
100,200,0.1,1,5,0.84614950758566,4.09477343589434,HD,GN-SCCA,0.19175
100,200,0.1,1,1,0.959224140050916,0.959224140050916,PD,SCCA,0.055887708
100,200,0.1,1,2,0.962173122397927,1.92139726244884,PD,SCCA,0.055887708
100,200,0.1,1,3,0.898604196977036,2.82000145942588,PD,SCCA,0.055887708
100,200,0.1,1,4,0.930249797255041,3.75025125668092,PD,SCCA,0.055887708
100,200,0.1,1,5,0.962842808924571,4.71309406560549,PD,SCCA,0.055887708
100,200,0.1,1,1,0.930519220749096,0.930519220749096,PD,GN-SCCA,0.168127875
100,200,0.1,1,2,0.911171567373087,1.84169078812218,PD,GN-SCCA,0.168127875
100,200,0.1,1,3,0.951850002363526,2.79354079048571,PD,GN-SCCA,0.168127875
100,200,0.1,1,4,0.888716497655957,3.68225728814167,PD,GN-SCCA,0.168127875
100,200,0.1,1,5,0.898489448710677,4.58074673685234,PD,GN-SCCA,0.168127875
100,200,0.1,1,1,0.96812664303984,0.96812664303984,OPD,SCCA,0.03370375
100,200,0.1,1,2,0.949686194940955,1.9178128379808,OPD,SCCA,0.03370375
100,200,0.1,1,3,0.894869519605455,2.81268235758625,OPD,SCCA,0.03370375
100,200,0.1,1,4,0.943688416160417,3.75637077374667,OPD,SCCA,0.03370375
100,200,0.1,1,5,0.835347402941926,4.59171817668859,OPD,SCCA,0.03370375
100,200,0.1,1,1,0.930519220749096,0.930519220749096,OPD,GN-SCCA,0.13215225
100,200,0.1,1,2,0.911171567373087,1.84169078812218,OPD,GN-SCCA,0.13215225
100,200,0.1,1,3,0.951809303990025,2.79350009211221,OPD,GN-SCCA,0.13215225
